Ronda,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante
Fase Grupos,Qatar ,Ecuador,0,2
Fase Grupos,England,Iran ,6,2
Fase Grupos,Senegal,Netherlands ,0,2
Fase Grupos,USA,Wales,1,1
Fase Grupos,Argentina,Saudi Arabia ,1,2
Fase Grupos,Denmark ,Tunisia ,0,0
Fase Grupos,Mexico ,Poland ,0,0
Fase Grupos,France,Australia,4,1
Fase Grupos,Morocco ,Croatia ,0,0
Fase Grupos,Germany ,Japan,1,2
Fase Grupos,EspaÂ¤a,Costa Rica,7,0
Fase Grupos,Belgica,Canada,1,0
Fase Grupos,Switzerland,Cameroon,1,0
Fase Grupos,Uruguay,South Korea,0,0
Fase Grupos,Portugal,Ghana,3,2
Fase Grupos,Brazil,Serbia,2,0
Fase Grupos,Wales,Iran,0,2
Fase Grupos,Qatar,Senegal,1,3
Fase Grupos,Netherlands,Ecuador,1,1
Fase Grupos,England,USA,0,0
Fase Grupos,Tunisia,Australia,0,0
Fase Grupos,Poland,Saudi Arabia,1,2
Fase Grupos,France,Denmark,2,1
Fase Grupos,Argentina,Mexico,2,4
Fase Grupos,Japan,Costa Rica,0,2
Fase Grupos,Belgium,Morocco,2,1
Fase Grupos,Croatia,Canada,2,3
Fase Grupos,Spain,Germany,1,0
Fase Grupos,Cameroon,Serbia,3,3
Fase Grupos,South Korea,Ghana,2,3
Fase Grupos,Brazil,Switzerland ,1,0
Fase Grupos,Portugal,Uruguay,2,0
Fase Grupos,Ecuador,Senegal,1,2
Fase Grupos,Netherlands,Qatar ,2,0
Fase Grupos,Wales,England,0,3
Fase Grupos,Iran,USA,0,1
Fase Grupos,Australia,Denmark,1,0
Fase Grupos,Tunisia,France,1,0
Fase Grupos,Poland,Argentina,0,2
Fase Grupos,Saudi Arabia,Mexico ,1,2
Fase Grupos,Croatia,Belgium,0,0
Fase Grupos,Canada,Morocco,1,2
Fase Grupos,Japan,Spain,2,1
Fase Grupos,Costa Rica,Germany ,2,4
Fase Grupos,Ghana,Uruguay,0,2
Fase Grupos,South Korea ,Portugal,2,1
Fase Grupos,Serbia,Switzerland,2,3
Fase Grupos,Cameroon,Brazil,1,0
